GENE,NCBI GeneID
Anxa4,11746
Anxa5,11747
Anxa6,11749
Anxa7,11750
Anxa8,11752
Anxa9,71790
Aoah,27052
Aoc2,237940
Aoc3,11754
Aopep,72061
Aox4,71872
Ap1ar,211556
Ap1b1,11764
Ap1g1,11765
Ap1g2,11766
Ap1m1,11767
Ap1m2,11768
Ap1s1,11769
Ap1s2,108012
Ap1s3,252903
Ap2a1,11771
Ap2a2,11772
Ap2b1,71770
Ap2m1,11773
Ap2s1,232910
Ap3b1,11774
Ap3b2,11775
Ap3d1,11776
Ap3m1,55946
Ap3m2,64933
Ap3s1,11777
Ap3s2,11778
Ap4b1,67489
Ap4e1,108011
Ap4m1,11781
Ap4s1,11782
Ap5b1,381201
Ap5m1,74385
Ap5s1,69596
Ap5z1,231855
Apaf1,11783
Apba1,319924
Apba2,11784
Apba3,57267
Apbb1,11785
Apbb2,11787
Apbb3,225372
Apc,11789
Apc2,23805
Apcdd1,494504
Apeh,235606
Apela,100038489
Apex1,11792
Apex2,77622
Aph1a,226548
Aph1b,208117
Aph1c,68318
Api5,11800
Apip,56369
Aplf,72103
Apln,30878
Aplnr,23796
Aplp1,11803
Aplp2,11804
Apmap,71881
Apobec1,11810
Apobec2,11811
Apobr,171504
Apoc1,11812
Apod,11815
Apoe,11816
Apol6,71939
Apol7b,278679
Apol7d,100042814
Apol8,239552
Apold1,381823
Apom,55938
Apoo,68316
Apool,68117
App,11820
Appbp2,66884
Appbp2os,654810
Appl1,72993
Appl2,216190
Aprt,11821
Aptx,66408
Aqp1,11826
Aqp11,66333
Aqp3,11828
Aqp7,11832
Aqp8,11833
Aqr,11834
Araf,11836
Arap1,69710
Arap2,212285
Arap3,106952
Arc,11838
Arcn1,213827
Arel1,68497
Arf1,11840
Arf2,11841
Arf3,11842
Arf4,11843
Arf5,11844
Arf6,11845
Arfgap1,228998
Arfgap2,77038
Arfgap3,66251
Arfgef1,211673
Arfgef3,215821
Arfip1,99889
Arfip2,76932
Arfrp1,76688
Arg1,11846
Arg2,11847
Arglu1,234023
Arhgap1,228359
Arhgap10,78514
Arhgap11a,228482
Arhgap12,75415
Arhgap17,70497
Arhgap18,73910
Arhgap19,71085
Arhgap21,71435
Arhgap22,239027
Arhgap23,58996
Arhgap24,231532
Arhgap25,232201
Arhgap26,71302
Arhgap27,544817
Arhgap28,268970
Arhgap29,214137
Arhgap30,226652
Arhgap32,330914
Arhgap33,233071
Arhgap33os,100504207
Arhgap35,232906
Arhgap36,75404
Arhgap39,223666
Arhgap4,171207
Arhgap42,71544
Arhgap44,216831
Arhgap45,70719
Arhgap5,11855
Arhgap6,11856
Arhgap8,73167
Arhgap9,216445
Arhgdib,11857
Arhgdig,14570
Arhgef1,16801
Arhgef10,234094
Arhgef10l,72754
Arhgef11,213498
Arhgef12,69632
Arhgef15,442801
Arhgef16,230972
Arhgef17,207212
Arhgef18,102098
Arhgef19,213649
Arhgef2,16800
Arhgef25,52666
Arhgef26,622434
Arhgef28,110596
Arhgef3,71704
Arhgef37,328967
Arhgef39,230098
Arhgef4,226970
Arhgef40,268739
Arhgef5,54324
Arhgef6,73341
Arhgef7,54126
Arhgef9,236915
Arid1a,93760
Arid1b,239985
Arid2,77044
Arid3a,13496
Arid3b,56380
Arid3c,550619
Arid4a,238247
Arid4b,94246
Arid5a,214855
Arid5b,71371
Arih1,23806
Arih2,23807
Arl1,104303
Arl10,56795
Arl13b,68146
Arl14ep,212772
Arl14epl,381142
Arl15,218639
Arl16,70317
Arl2,56327
Arl2bp,107566
Arl3,56350
Arl4a,11861
Arl4aos,100043606
Arl4c,320982
Arl4d,80981
Arl5a,75423
Arl5b,75869
Arl5c,217151
Arl6,56297
Arl6ip1,54208
Arl6ip4,65105
Arl6ip5,65106
Arl6ip6,65103
Arl8a,68724
Arl8b,67166
Armc1,74252
Armc10,67211
Armc5,233912
Armc6,76813
Armc7,276905
Armc8,74125
Armc9,78795
Armcx1,78248
Armcx2,67416
Armcx3,71703
Armcx4,100503043
Armcx5,494468
Armcx6,278097
Armh3,71617
Armh4,67419
Armt1,73419
Arnt,11863
Arnt2,11864
Arntl,0
Arntl2,0
Arpc1a,56443
Arpc1b,11867
Arpc2,76709
Arpc3,56378
Arpc4,68089
Arpc5,67771
Arpc5l,74192
Arpin,70420
Arpp19,59046
Arr3,170735
Arrb1,109689
Arrb2,216869
Arrdc1,215705
Arrdc2,70807
Arrdc3,105171
Arrdc4,66412
Arsa,11883
Arsb,11881
Arsg,74008
Arsi,545260
Arsk,77041
Art3,109979
Art4,109978
Art5,11875
Artn,11876
Arv1,68865
Arvcf,11877
Arxes1,76219
Arxes2,76976
As3mt,57344
Asah1,11886
Asah2,54447
Asap1,13196
Asap2,211914
Asap3,230837
Asb1,65247
Asb10,117590
Asb12,70392
Asb13,142688
Asb16,217217
Asb2,65256
Asb3,65257
Asb4,65255
Asb6,72323
Asb7,117589
Asb8,78541
Ascc1,69090
Ascc2,75452
Ascc3,77987
Ascl2,17173
Ascl5,226439
Asf1a,66403
Asf1b,66929
Asgr2,11890
Ash1l,192195
Ash2l,23808
Asic1,11419
Asic2,11418
Asic3,171209
Asic4,241118
Asl,109900
Asns,27053
Asnsd1,70396
Aspdh,68352
Aspg,104816
Asph,65973
Asphd1,233879
Asphd2,72898
Aspm,12316
Asprv1,67855
Aspscr1,68938
Asrgl1,66514
Aste1,66595
Astn1,11899
Astn2,56079
Asxl1,228790
Asxl2,75302
